file_name,data_size,avg_time,avg_memory
int_ascending_sorted_30K.txt,30000,0.001320,16
int_ascending_sorted_1M.txt,1000000,0.005272,16
int_ascending_sorted_10K.txt,10000,0.001336,16
int_ascending_sorted_1K.txt,1000,0.000032,0
int_ascending_sorted_100K.txt,100000,0.001348,16
int_ascending_sorted_300K.txt,300000,0.001344,16
int_ascending_sorted_3K.txt,3000,0.000927,11.2
int_descending_sorted_30K.txt,30000,1.636285,16
int_descending_sorted_10K.txt,10000,0.202888,16
int_descending_sorted_3K.txt,3000,0.016704,16
int_descending_sorted_1K.txt,1000,0.002574,17.6
int_descending_sorted_100K.txt,100000,18.223412,720
int_descending_sorted_300K.txt,300000,171.932837,16
int_descending_sorted_1M.txt,1000000,오버헤드
int_random_1K.txt,1000,0.001434,17.6
int_random_3K.txt,3000,0.009761,16
int_random_10K.txt,10000,0.093014,16
int_random_30K.txt,30000,0.890548,16
int_random_100K.txt,100000,9.006867,352
int_random_300K.txt,300000,81.786249,16
int_random_1M.txt,1000000,오버헤드
10per_10K.txt,10000,0.073876,16
10per_100K.txt,100000,7.281554,16
10per_1M.txt,1000000,오버헤드
50per_10K.txt,10000,0.024378,16
50per_100K.txt,100000,2.243619,225
50per_1M.txt,1000000,239.060433,16
90per_10K.txt,10000,0.001566,16
90per_100K.txt,100000,0.092502,16
90per_1M.txt,1000000,9.714599,1659.2

