file_name,data_size,avg_time,avg_memory
int_ascending_sorted_30K.txt,30000,0.00515389,16
int_ascending_sorted_1M.txt,1e+06,0.21099,14689.6
int_ascending_sorted_10K.txt,10000,0.00180978,16
int_ascending_sorted_1K.txt,1000,0.000157312,16
int_ascending_sorted_100K.txt,100000,0.0189186,16
int_ascending_sorted_300K.txt,300000,0.0663507,16
int_ascending_sorted_3K.txt,3000,0.000562842,16
int_descending_sorted_30K.txt,30000,0.00490066,16
int_descending_sorted_10K.txt,10000,0.00179411,16
int_descending_sorted_3K.txt,3000,0.000493542,16
int_descending_sorted_1M.txt,1e+06,0.209289,17748.8
int_descending_sorted_1K.txt,1000,0.000165717,16
int_descending_sorted_100K.txt,100000,0.0191692,16
int_descending_sorted_300K.txt,300000,0.0667031,16
int_random_3K.txt,3000,0.000588287,16
int_random_10K.txt,10000,0.0019491,16
int_random_30K.txt,30000,0.00549188,16
int_random_300K.txt,300000,0.0875665,16
int_random_1K.txt,1000,0.0001716,16
int_random_100K.txt,100000,0.0216373,16
int_random_1M.txt,1e+06,0.515486,18080
10per_1M.txt,1e+06,0.408531,9796.81
10per_100K.txt,100000,0.0215601,19.2125
10per_10K.txt,10000,0.00194528,16
50per_10K.txt,10000,0.00183675,16
50per_100K.txt,100000,0.0200864,17.6
50per_1M.txt,1e+06,0.278288,12464
90per_10K.txt,10000,0.00188952,16
90per_1M.txt,1e+06,0.21374,13606.4
90per_100K.txt,100000,0.019079,16

float_ascending_sorted_100K.txt,1e+06,0.260002,12555.2
float_descending_sorted_100K.txt,1e+06,0.257436,9422.42
float_random_100K.txt,1e+06,0.493442,13912
string_random_100K.txt,1e+06,0.575878,20027.2
tuple_num_descending_char_ascending_data_1K.txt,1000,0.000200421,16
