sort_algorithm,file_name,data_size,avg_time
bubble_sort,int_random_1K.txt,1000,0.003467,16
bubble_sort,int_random_3K.txt,3000,0.023523,16
bubble_sort,int_random_10K.txt,10000,0.318441,16
bubble_sort,int_random_30K.txt,30000,3.420089,16
bubble_sort,int_random_100K.txt,100000,39.306256,16
bubble_sort,int_random_300K.txt,300000,378.421425,16
bubble_sort,int_random_1M.txt,1000000, 오버헤드
cocktail_sort,int_random_1K.txt,1000,0.002949,17.6
cocktail_sort,int_random_3K.txt,3000,0.019311,16
cocktail_sort,int_random_10K.txt,10000,0.252760,16
cocktail_sort,int_random_30K.txt,30000,2.409850,16
cocktail_sort,int_random_100K.txt,100000,28.015014,224
cocktail_sort,int_random_300K.txt,300000,289.79,16
cocktail_sort,int_random_1M.txt,1000000,오버헤드
comb_sort,int_random_3K.txt,3000,0.00129439,16
comb_sort,int_random_10K.txt,10000,0.00257387,16
comb_sort,int_random_30K.txt,30000,0.00757851,16
comb_sort,int_random_300K.txt,300000,0.0959695,16
comb_sort,int_random_1K.txt,1000,0.00130465,16
comb_sort,int_random_100K.txt,100000,0.0264611,16
comb_sort,int_random_1M.txt,1e+06,0.65156,472
heap_sort,int_random_3K.txt,3000,0.00134347,16
heap_sort,int_random_10K.txt,10000,0.0025996,16
heap_sort,int_random_30K.txt,30000,0.00796163,16
heap_sort,int_random_300K.txt,300000,0.103289,16
heap_sort,int_random_1K.txt,1000,0.00132552,16
heap_sort,int_random_100K.txt,100000,0.0290406,16
heap_sort,int_random_1M.txt,1e+06,0.530165,16
insertion_sort,int_random_1K.txt,1000,0.001434,17.6
insertion_sort,int_random_3K.txt,3000,0.009761,16
insertion_sort,int_random_10K.txt,10000,0.093014,16
insertion_sort,int_random_30K.txt,30000,0.890548,16
insertion_sort,int_random_100K.txt,100000,9.006867,352
insertion_sort,int_random_300K.txt,300000,81.786249,16
insertion_sort,int_random_1M.txt,1000000,오버헤드
intro_sort,int_random_3K.txt,3000,0.00131628,16
intro_sort,int_random_10K.txt,10000,0.00130373,16
intro_sort,int_random_30K.txt,30000,0.00405281,16
intro_sort,int_random_300K.txt,300000,0.0489449,16
intro_sort,int_random_1K.txt,1000,0.00130228,16
intro_sort,int_random_100K.txt,100000,0.0151532,16
intro_sort,int_random_1M.txt,1e+06,0.182465,16
library_sort,int_random_3K.txt,3000,0.00133505,16
library_sort,int_random_10K.txt,10000,0.00637592,22.4
library_sort,int_random_30K.txt,30000,0.0693388,16
library_sort,int_random_300K.txt,300000,5.72395,2668.8
library_sort,int_random_1K.txt,1000,0.00131036,16
library_sort,int_random_100K.txt,100000,0.437073,265.6
library_sort,int_random_1M.txt,1e+06,70.395813,17856.062500 
merge_sort,int_random_3K.txt,3000,0.00131862,16
merge_sort,int_random_10K.txt,10000,0.00145736,16
merge_sort,int_random_30K.txt,30000,0.00512877,16
merge_sort,int_random_300K.txt,300000,0.068323,16
merge_sort,int_random_1K.txt,1000,0.00130602,16
merge_sort,int_random_100K.txt,100000,0.0173875,16
merge_sort,int_random_1M.txt,1e+06,0.372339,2166.4
quick_sort,int_random_3K.txt,3000,0.00133476,16
quick_sort,int_random_10K.txt,10000,0.00170927,16
quick_sort,int_random_30K.txt,30000,0.00516578,16
quick_sort,int_random_300K.txt,300000,0.0544484,16
quick_sort,int_random_1K.txt,1000,0.00130291,16
quick_sort,int_random_100K.txt,100000,0.015765,16
quick_sort,int_random_1M.txt,1e+06,0.228141,16
selection_sort,int_random_sorted_1K.txt,1000,0.004231,17.6
selection_sort,int_random_sorted_3K.txt,3000,0.027016,17.6
selection_sort,int_random_sorted_10K.txt,10000,0.286511,16
selection_sort,int_random_sorted_30K.txt,30000,2.628484,16
selection_sort,int_random_sorted_100K.txt,100000,30.311864,69.333333
selection_sort,int_random_sorted_300K.txt,300000,271.426926,16
selection_sort,int_random_sorted_1M.txt,1000000,오버헤드
tim_sort,int_random_3K.txt,3000,0.00129897,16
tim_sort,int_random_10K.txt,10000,0.00128729,16
tim_sort,int_random_30K.txt,30000,0.00383169,16
tim_sort,int_random_300K.txt,300000,0.0603405,16
tim_sort,int_random_1K.txt,1000,0.00131651,16
tim_sort,int_random_100K.txt,100000,0.015309,16
tim_sort,int_random_1M.txt,1e+06,0.24613,16
tournament_sort,int_random_3K.txt,3000,0.000588287,16
tournament_sort,int_random_10K.txt,10000,0.0019491,16
tournament_sort,int_random_30K.txt,30000,0.00549188,16
tournament_sort,int_random_300K.txt,300000,0.0875665,16
tournament_sort,int_random_1K.txt,1000,0.0001716,16
tournament_sort,int_random_100K.txt,100000,0.0216373,16
tournament_sort,int_random_1M.txt,1e+06,0.515486,18080
